Date,BTC_Price,DOW_Price,NASDAQ_Price,GOLD_Price,USD_Price,US_BCI,US_CCI,US2TB,US30TB,ETH,XRP,US_INTR,S&P,BTCCash,LTC,Gsearch
2012-02-02,6.1,12705.41,2859.68,1756.8,79.11,100.07,98.71,110.37,144.59,0,0,0.75,1325.54,0,0,1
2012-02-03,6,12862.23,2905.66,1737.9,79.06,100.07,98.71,110.33,142.41,0,0,0.75,1344.9,0,0,1
2012-02-06,5.4,12845.13,2901.99,1722.8,79.19,100.07,98.71,110.35,143.28,0,0,0.75,1344.33,0,0,1
2012-02-07,5.7,12878.2,2904.08,1746.4,78.67,100.07,98.71,110.31,142.31,0,0,0.75,1347.05,0,0,1
2012-02-08,5.6,12883.95,2915.86,1729.3,78.73,100.07,98.71,110.3,142.22,0,0,0.75,1349.96,0,0,1
2012-02-09,5.8,12890.46,2927.23,1739,78.65,100.07,98.71,110.27,141.53,0,0,0.75,1351.95,0,0,1
2012-02-10,5.9,12801.23,2903.88,1723.3,79.23,100.07,98.71,110.27,142.78,0,0,0.75,1342.64,0,0,1
2012-02-13,5.3,12874.04,2931.39,1723,79.05,100.07,98.71,110.23,142.38,0,0,0.75,1351.77,0,0,1
2012-02-14,4.5,12878.28,2931.83,1715.9,79.69,100.07,98.71,110.22,143.56,0,0,0.75,1350.5,0,0,1
2012-02-15,4.3,12780.95,2915.83,1726.3,79.78,100.07,98.71,110.23,143.31,0,0,0.75,1343.23,0,0,1
2012-02-16,4.3,12904.08,2959.85,1726.8,79.45,100.07,98.71,110.2,142.28,0,0,0.75,1358.04,0,0,1
2012-02-17,4.4,12949.87,2951.78,1724.5,79.46,100.07,98.71,110.22,142.09,0,0,0.75,1361.23,0,0,1
2012-02-21,4.3,12965.69,2948.57,1757.1,79.14,100.07,98.71,110.2,141.53,0,0,0.75,1362.21,0,0,1
2012-02-22,4.4,12938.67,2933.17,1770,79.3,100.07,98.71,110.23,142.25,0,0,0.75,1357.66,0,0,1
2012-02-23,5,12984.69,2956.98,1784.9,78.89,100.07,98.71,110.21,142.69,0,0,0.75,1363.46,0,0,1
2012-02-24,5,12982.95,2963.75,1775.1,78.4,100.07,98.71,110.19,143,0,0,0.75,1365.74,0,0,1
2012-02-27,5,12981.51,2966.16,1773.6,78.58,100.07,98.71,110.23,143.97,0,0,0.75,1367.59,0,0,1
2012-02-28,4.9,13005.12,2986.76,1787,78.3,100.07,98.71,110.24,143.81,0,0,0.75,1372.18,0,0,1
2012-02-29,4.9,12952.07,2966.89,1709.9,78.79,100.07,98.71,110.21,143.09,0,0,0.75,1365.68,0,0,1
2012-03-01,4.9,12980.3,2988.97,1721.1,78.83,100.13,98.83,110.23,141.91,0,0,0.75,1374.09,0,0,1
2012-03-02,4.7,12977.57,2976.19,1708.8,79.46,100.13,98.83,110.26,142.66,0,0,0.75,1369.63,0,0,1
2012-03-05,5,12962.81,2950.48,1703,79.36,100.13,98.83,110.21,142.34,0,0,0.75,1364.33,0,0,1
2012-03-06,5,12759.15,2910.32,1671.4,79.93,100.13,98.83,110.27,143.44,0,0,0.75,1343.36,0,0,1
2012-03-07,4.9,12837.33,2935.69,1683.3,79.76,100.13,98.83,110.2,142.94,0,0,0.75,1352.63,0,0,1
2012-03-08,4.9,12907.94,2970.42,1698.1,79.18,100.13,98.83,110.19,142.12,0,0,0.75,1365.91,0,0,1
2012-03-09,4.9,12922.02,2988.34,1710.9,80.08,100.13,98.83,110.16,141.75,0,0,0.75,1370.87,0,0,1
2012-03-12,4.9,12959.71,2983.66,1699.2,79.91,100.13,98.83,110.16,141.97,0,0,0.75,1371.09,0,0,1
2012-03-13,5.3,13177.68,3039.88,1693.7,80.21,100.13,98.83,110.13,140.69,0,0,0.75,1395.95,0,0,1
2012-03-14,5.4,13194.1,3040.73,1642.5,80.54,100.13,98.83,110.03,138.06,0,0,0.75,1394.28,0,0,1
2012-03-15,5.3,13252.76,3056.37,1659.1,80.14,100.13,98.83,110.08,137.97,0,0,0.75,1402.6,0,0,1
2012-03-16,5.3,13232.62,3055.26,1655.5,79.73,100.13,98.83,110.09,137.88,0,0,0.75,1404.17,0,0,1
2012-03-19,4.7,13239.13,3078.32,1666.9,79.71,100.13,98.83,110.05,136.81,0,0,0.75,1409.75,0,0,1
2012-03-20,4.8,13170.19,3074.15,1646.7,79.83,100.13,98.83,110.04,137.06,0,0,0.75,1405.52,0,0,1
2012-03-21,4.8,13124.62,3075.32,1650,79.9,100.13,98.83,110.09,137.97,0,0,0.75,1402.89,0,0,1
2012-03-22,4.7,13046.14,3063.32,1642.3,80,100.13,98.83,110.09,137.06,0,0,0.75,1392.78,0,0,1
2012-03-23,4.7,13080.73,3067.92,1662.3,79.58,100.13,98.83,110.12,137.81,0,0,0.75,1397.11,0,0,1
